|   nof_acetyl  |     nof_OH    |    nof_COOH   |    nof_NH2    |     nof_SH    |    nof_SO3H   |    nof_PO4    |negCharge/Volume|posCharge/Volume|     C_sp3     |      C_R0     |      C_R1     |      C_R2     | nof_negCharge | nof_posCharge |   Complexity  |   nof_Rings   |molCharge_total|    nof_HBD    |    nof_HBA    |    PSA/Area   |     molPSA    |    molLogS    |    molLogP    |   molVolume   |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.005387931 |      0.0      |      6.0      |      8.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     156.0     |      0.0      |      -1.0     |      2.0      |      5.0      |  0.231932287  |    53.3653    |    -1.80685   |    0.94194    |     185.6     |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.005700052 |      0.0      |      3.0      |      7.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     192.0     |      0.0      |      -1.0     |      2.0      |      5.0      |   0.27296689  |    53.3653    |     -1.627    |    0.405678   |    175.437    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.012148129 |      0.0      |      2.0      |      3.0      |      0.0      |      0.0      |      -1.0     |      0.0      |      44.5     |      0.0      |      -1.0     |      1.0      |      5.0      |  0.421079197  |    45.5494    |    0.741963   |   -0.699103   |    82.3172    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.006208982 |      0.0      |      2.0      |      3.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     167.0     |      1.0      |      -1.0     |      2.0      |      6.0      |  0.323340448  |    62.4157    |    -1.16896   |    0.637831   |    161.057    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.008732633 |      0.0      |      4.0      |      5.0      |      0.0      |      0.0      |      -1.0     |      0.0      |      74.2     |      0.0      |      -1.0     |      1.0      |      5.0      |  0.305515802  |    45.5133    |    0.219356   |    0.346125   |    114.513    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.006079471 |  0.006079471  |      6.0      |      7.0      |      0.0      |      0.0      |      -1.0     |      1.0      |     115.0     |      0.0      |      0.0      |      1.0      |      3.0      |  0.139906209  |    28.4614    |    1.55167    |    0.199977   |    164.488    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.00600168  |      0.0      |      1.0      |      2.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     205.0     |      2.0      |      -1.0     |      2.0      |      3.0      |  0.203549276  |     38.493    |    -2.2539    |     1.6207    |     166.62    |
|      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.011667019 |  0.011667019  |      3.0      |      3.0      |      0.0      |      0.0      |      -1.0     |      1.0      |      28.4     |      0.0      |      0.0      |      0.0      |      1.0      |  0.126843739  |    15.2007    |    0.947453   |    0.059772   |    85.7117    |
|      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.006664845 |      0.0      |      2.0      |      3.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     150.0     |      1.0      |      -1.0     |      2.0      |      4.0      |  0.240998343  |    44.7987    |    -1.31257   |    0.825752   |    150.041    |
|      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  0.005728394  |      2.0      |      2.0      |      0.0      |      0.0      |      0.0      |      1.0      |     174.0     |      2.0      |      1.0      |      4.0      |      2.0      |  0.245139516  |    48.8818    |    -2.64922   |    0.953595   |    174.569    |
|      0.0      |      6.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      6.0      |      6.0      |      0.0      |      0.0      |      0.0      |      0.0      |     105.0     |      0.0      |      0.0      |      6.0      |      6.0      |  0.489225156  |     98.414    |    0.297241   |    -3.59888   |    151.828    |
|      0.0      |      0.0      |      1.0      |      2.0      |      0.0      |      0.0      |      0.0      |  -0.005948345 |  0.005948345  |      4.0      |      6.0      |      0.0      |      0.0      |      -1.0     |      1.0      |     171.0     |      0.0      |      0.0      |      6.0      |      6.0      |  0.474617031  |     94.931    |   -0.288822   |    -2.28789   |    168.114    |
|      0.0      |      0.0      |      2.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.007075063 |      0.0      |      12.0     |      14.0     |      0.0      |      0.0      |      -2.0     |      0.0      |     202.0     |      0.0      |      -2.0     |      2.0      |      6.0      |  0.168274962  |    57.2776    |    -3.43356   |    4.28918    |    282.683    |
|      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.004901528 |      0.0      |      9.0      |      10.0     |      0.0      |      0.0      |      -1.0     |      0.0      |     134.0     |      0.0      |      -1.0     |      2.0      |      4.0      |  0.177366317  |    45.0702    |     -2.747    |    2.75316    |    204.018    |
|      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.002271948 |      0.0      |      23.0     |      7.0      |      11.0     |      6.0      |      -1.0     |      0.0      |     605.0     |      4.0      |      -1.0     |      3.0      |      5.0      |  0.133640016  |    60.2802    |    -4.95279   |    4.86794    |    440.151    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.006759406 |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     193.0     |      2.0      |      -1.0     |      2.0      |      3.0      |  0.230374894  |    38.5173    |    -2.77655   |    1.78157    |    147.942    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.007696452 |      0.0      |      2.0      |      3.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     127.0     |      1.0      |      -1.0     |      2.0      |      4.0      |  0.322438251  |    50.4158    |   -0.906615   |   -0.174785   |     129.93    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      1.0      |      0.0      |  -0.010371991 |      0.0      |      2.0      |      3.0      |      0.0      |      0.0      |      -2.0     |      0.0      |     330.0     |      1.0      |      -2.0     |      2.0      |      9.0      |  0.337755085  |    79.8426    |    -1.65673   |   0.0656623   |    192.827    |
|      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.002209154 |      0.0      |      22.0     |      7.0      |      11.0     |      6.0      |      -1.0     |      0.0      |     676.0     |      4.0      |      -1.0     |      3.0      |      7.0      |  0.165441368  |    73.5281    |    -4.20034   |    3.76526    |    452.662    |
|      0.0      |      3.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |   -0.002228   |      0.0      |      23.0     |      7.0      |      11.0     |      6.0      |      -1.0     |      0.0      |     637.0     |      4.0      |      -1.0     |      4.0      |      6.0      |  0.167745985  |     75.896    |    -4.35683   |    3.83893    |    448.833    |
|      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.002259657 |      0.0      |      23.0     |      7.0      |      11.0     |      6.0      |      -1.0     |      0.0      |     605.0     |      4.0      |      -1.0     |      3.0      |      5.0      |  0.136275716  |    60.2802    |    -4.72804   |    4.88006    |    442.545    |
|      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.006580636 |      0.0      |      5.0      |      6.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     123.0     |      0.0      |      -1.0     |      3.0      |      5.0      |  0.356160173  |    61.8782    |    1.16662    |   -0.458176   |    151.961    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.005700344 |  0.005700344  |      7.0      |      3.0      |      5.0      |      0.0      |      -1.0     |      1.0      |     160.0     |      1.0      |      0.0      |      0.0      |      4.0      |  0.142148893  |    28.2592    |    0.791741   |    0.22945    |    175.428    |
|      0.0      |      4.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.006798559 |      0.0      |      5.0      |      1.0      |      5.0      |      0.0      |      -1.0     |      0.0      |     205.0     |      1.0      |      -1.0     |      5.0      |      8.0      |  0.558323745  |    100.936    |    0.403408   |    -3.01177   |     147.09    |
|      1.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.004166667 |      0.0      |      3.0      |      5.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     332.0     |      2.0      |      -1.0     |      3.0      |      5.0      |  0.236202346  |    62.7318    |    -2.4675    |    1.09576    |     240.0     |
|      0.0      |      3.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.002250706 |      0.0      |      23.0     |      7.0      |      11.0     |      6.0      |      -1.0     |      0.0      |     637.0     |      4.0      |      -1.0     |      4.0      |      6.0      |  0.164071652  |    75.6833    |    -4.88481   |    3.94511    |    444.305    |
|      1.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |  -0.005720562 |  0.005720562  |      5.0      |      7.0      |      0.0      |      0.0      |      -1.0     |      1.0      |     170.0     |      0.0      |      0.0      |      4.0      |      6.0      |   0.35037196  |    74.1324    |    0.131694   |    -1.90365   |    174.808    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.00522016  |      0.0      |      0.0      |      3.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     250.0     |      2.0      |      -1.0     |      2.0      |      3.0      |   0.1902206   |    38.4666    |    -3.06626   |    2.66516    |    191.565    |
|      0.0      |      0.0      |      2.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.007621632 |  0.003810816  |      8.0      |      11.0     |      0.0      |      0.0      |      -2.0     |      1.0      |     315.0     |      0.0      |      -1.0     |      1.0      |      10.0     |  0.258405253  |    76.4709    |    1.38878    |   -0.770947   |    262.411    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.007405981 |  0.007405981  |      5.0      |      2.0      |      4.0      |      0.0      |      -1.0     |      1.0      |     124.0     |      1.0      |      0.0      |      1.0      |      4.0      |  0.205280761  |    32.5914    |    0.326269   |   -0.325057   |    135.026    |
|      0.0      |      0.0      |      2.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.035175225 |      0.0      |      1.0      |      3.0      |      0.0      |      0.0      |      -3.0     |      0.0      |      83.1     |      0.0      |      -3.0     |      2.0      |      6.0      |  0.537762297  |    57.2776    |    0.745966   |   -0.962452   |    85.2873    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.007882581 |      0.0      |      5.0      |      6.0      |      0.0      |      0.0      |      -1.0     |      0.0      |      68.9     |      0.0      |      -1.0     |      1.0      |      3.0      |  0.173892476  |    28.8938    |    -1.44087   |    1.83515    |    126.862    |
|      0.0      |      2.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.002271948 |      0.0      |      23.0     |      7.0      |      11.0     |      6.0      |      -1.0     |      0.0      |     605.0     |      4.0      |      -1.0     |      3.0      |      5.0      |  0.133640016  |    60.2802    |    -4.95279   |    4.86794    |    440.151    |
|      0.0      |      0.0      |      2.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.011412659 |      0.0      |      6.0      |      8.0      |      0.0      |      0.0      |      -2.0     |      0.0      |     135.0     |      0.0      |      -2.0     |      2.0      |      6.0      |  0.269958336  |    57.2776    |   -0.900814   |    1.39755    |    175.244    |
|      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.003702154 |      0.0      |      13.0     |      14.0     |      0.0      |      0.0      |      -1.0     |      0.0      |     155.0     |      0.0      |      -1.0     |      1.0      |      3.0      |  0.085712082  |    28.8938    |    -4.81786   |    5.69066    |    270.113    |
|      0.0      |      3.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      5.0      |      1.0      |      8.0      |      0.0      |      0.0      |      0.0      |     382.0     |      2.0      |      0.0      |      5.0      |      8.0      |  0.469899517  |    105.874    |    -1.0644    |    -2.73949   |    235.798    |
|      0.0      |      0.0      |      1.0      |      1.0      |      0.0      |      1.0      |      0.0      |  -0.014916134 |  0.007458067  |      2.0      |      3.0      |      0.0      |      0.0      |      -2.0     |      1.0      |     229.0     |      0.0      |      -1.0     |      4.0      |      10.0     |   0.52850356  |    91.6663    |   -0.480946   |    -3.22651   |    134.083    |
|      0.0      |      5.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |  -0.006412558 |      0.0      |      5.0      |      6.0      |      0.0      |      0.0      |      -1.0     |      0.0      |     170.0     |      0.0      |      -1.0     |      6.0      |      8.0      |  0.554509322  |     109.24    |   -0.125495   |    -3.77158   |    155.944    |
|      0.0      |      0.0      |      0.0      |      1.0      |      0.0      |      0.0      |      0.0      |      0.0      |      0.0      |      3.0      |      0.0      |      5.0      |      0.0      |      0.0      |      0.0      |     155.0     |      1.0      |      0.0      |      3.0      |      5.0      |  0.410095304  |    58.9512    |   -0.400361   |    -2.10407   |    127.871    |
|      1.0      |      0.0      |      1.0      |      1.0      |      0.0      |      0.0      |      0.0      |  -0.005707763 |  0.005707763  |      5.0      |      7.0      |      0.0      |      0.0      |      -1.0     |      1.0      |     170.0     |      0.0      |      0.0      |      4.0      |      6.0      |   0.35885149  |     74.288    |   0.0726721   |    -1.36345   |     175.2     |
