SLC,molVolume,molLogP,molLogS,molPSA,PSA/Area,nof_HBA,nof_HBD,molCharge_total,nof_Rings,Complexity,nof_posCharge,nof_negCharge,C_R2,C_R1,C_R0,C_sp3,posCharge/Volume,negCharge/Volume,nof_PO4,nof_SO3H,nof_SH,nof_NH2,nof_COOH,nof_OH,nof_acetyl
OAT1,252.731,-3.09432,-0.368753,130.601,0.460564875,12,6,-2,0,369,1,-3,0,0,10,6,0.003956776,-0.011870329,0,0,0,1,3,0,0
OAT1,118.3,-1.25533,-0.916708,42.0722,0.296897802,5,2,-1,1,106,0,-1,0,3,1,3,0,-0.008453085,0,0,0,0,1,0,0
OAT1,132.321,-0.503877,-0.540684,53.3653,0.326253592,5,2,-1,0,121,0,-1,0,0,5,3,0,-0.007557379,0,0,0,0,1,0,0
OAT1,171.51,-3.82444,1.36712,100.462,0.460429347,8,5,1,0,176,1,0,0,0,5,5,0.005830564,0,1,0,0,1,0,2,0
OAT1,178.415,0.175289,-1.58612,70.9242,0.340327255,6,3,-2,1,221,0,-2,0,0,3,1,0,-0.01120982,0,0,0,0,1,0,0
OAT1,151.792,-1.32608,0.589246,68.8649,0.371027337,6,3,-1,0,168,0,-1,0,0,6,4,0,-0.006587962,0,0,0,0,1,1,1
OAT1,141.468,-2.23228,0.383172,67.9949,0.395275522,7,2,-1,0,202,0,-1,0,0,4,3,0,-0.007068736,0,1,0,0,0,0,1
OAT1,184.438,-1.52603,-1.50023,82.7783,0.372620098,6,5,0,1,255,1,-1,0,0,4,2,0.005421876,-0.005421876,0,0,0,2,1,0,0
OAT1,128.206,0.691564,-1.07121,44.6028,0.26356787,4,2,-1,0,101,0,-1,0,0,6,5,0,-0.007799947,0,0,0,0,1,1,0
OAT1,188.155,-3.08926,-0.467759,102.562,0.458281389,9,5,-1,0,240,1,-2,0,0,7,4,0.005314767,-0.010629534,0,0,0,1,2,0,0
OAT1,208.773,-1.1937,-0.353913,64.5879,0.273384465,6,2,-1,1,257,0,-1,0,0,6,4,0,-0.004789891,0,0,0,0,1,0,1
OAT1,192.418,-1.06292,-0.659543,68.5329,0.300640913,8,2,-1,0,229,0,-1,0,0,7,5,0,-0.005197019,0,0,0,0,1,0,1
OAT1,144.961,-0.576069,0.3258,73.4541,0.422701455,7,3,-2,0,153,0,-2,0,0,6,4,0,-0.013796814,0,0,0,0,2,1,0
OAT1,161.818,-0.253377,-0.699091,54.4196,0.286586374,6,2,-1,0,140,0,-1,0,0,6,4,0,-0.006179782,0,0,0,0,1,0,0
OAT1,134.888,-1.18452,-0.404027,66.5922,0.417139815,5,3,-1,1,151,0,-1,0,0,3,2,0,-0.007413558,0,0,0,0,1,1,0
OAT1,110.725,0.226268,-0.852268,57.2776,0.498477873,6,2,-2,0,119,0,-2,0,0,4,0,0,-0.018062768,0,0,0,0,2,0,0
OAT1,405.314,6.43786,-4.69362,28.8938,0.070073775,3,1,-1,0,398,0,-1,0,0,20,9,0,-0.002467223,0,0,0,0,1,0,0
OAT1,269.007,4.1766,-4.68107,20.2538,0.064405734,1,1,0,2,178,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
OAT1,141.868,-0.378136,-0.5449,54.293,0.329810046,5,2,-1,1,166,0,-1,0,5,1,4,0,-0.007048806,0,0,0,0,1,0,0
OAT1,215.365,1.28284,-0.535334,73.8972,0.285325086,7,3,-2,0,202,0,-2,0,0,10,8,0,-0.00928656,0,0,0,0,2,1,0
OAT1,211.637,-0.71847,-0.764619,69.7881,0.273882893,7,3,-1,0,198,0,-1,0,0,8,6,0,-0.004725072,0,0,0,0,1,1,1
OAT1,315.009,-0.993107,-2.89086,111.816,0.322513282,9,6,-1,2,484,1,-2,0,0,8,5,0.003174512,-0.006349025,0,0,0,1,2,0,0
OAT1,371.13,-5.56323,-2.67551,176.074,0.415456019,17,9,-1,0,562,2,-3,0,0,13,8,0.005388947,-0.008083421,0,0,0,2,3,0,0
OAT3,164.488,0.199977,1.55167,28.4614,0.139906209,3,1,0,0,115,1,-1,0,0,7,6,0.006079471,-0.006079471,0,0,0,0,1,0,0
OAT3,166.62,1.6207,-2.2539,38.493,0.203549276,3,2,-1,2,205,0,-1,0,0,2,1,0,-0.00600168,0,0,0,0,1,0,0
OAT3,85.7117,0.059772,0.947453,15.2007,0.126843739,1,0,0,0,28.4,1,-1,0,0,3,3,0.011667019,-0.011667019,0,0,0,0,0,0,0
OAT3,150.041,0.825752,-1.31257,44.7987,0.240998343,4,2,-1,1,150,0,-1,0,0,3,2,0,-0.006664845,0,0,0,0,1,1,0
OAT3,174.569,0.953595,-2.64922,48.8818,0.245139516,2,4,1,2,174,1,0,0,0,2,2,0.005728394,0,0,0,0,1,0,0,0
OAT3,151.828,-3.59888,0.297241,98.414,0.489225156,6,6,0,0,105,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0
OAT3,168.114,-2.28789,-0.288822,94.931,0.474617031,6,6,0,0,171,1,-1,0,0,6,4,0.005948345,-0.005948345,0,0,0,2,1,0,0
OAT3,282.683,4.28918,-3.43356,57.2776,0.168274962,6,2,-2,0,202,0,-2,0,0,14,12,0,-0.007075063,0,0,0,0,2,0,0
OAT3,204.018,2.75316,-2.747,45.0702,0.177366317,4,2,-1,0,134,0,-1,0,0,10,9,0,-0.004901528,0,0,0,0,1,1,0
OAT3,440.151,4.86794,-4.95279,60.2802,0.133640016,5,3,-1,4,605,0,-1,6,11,7,23,0,-0.002271948,0,0,0,0,1,2,0
OAT3,147.942,1.78157,-2.77655,38.5173,0.230374894,3,2,-1,2,193,0,-1,0,0,1,0,0,-0.006759406,0,0,0,0,1,0,0
OAT3,129.93,-0.174785,-0.906615,50.4158,0.322438251,4,2,-1,1,127,0,-1,0,0,3,2,0,-0.007696452,0,0,0,0,1,0,0
OAT3,192.827,0.0656623,-1.65673,79.8426,0.337755085,9,2,-2,1,330,0,-2,0,0,3,2,0,-0.010371991,0,1,0,0,1,0,0
OAT3,452.662,3.76526,-4.20034,73.5281,0.165441368,7,3,-1,4,676,0,-1,6,11,7,22,0,-0.002209154,0,0,0,0,1,2,0
OAT3,448.833,3.83893,-4.35683,75.896,0.167745985,6,4,-1,4,637,0,-1,6,11,7,23,0,-0.002228,0,0,0,0,1,3,0
OAT3,442.545,4.88006,-4.72804,60.2802,0.136275716,5,3,-1,4,605,0,-1,6,11,7,23,0,-0.002259657,0,0,0,0,1,2,0
OAT3,151.961,-0.458176,1.16662,61.8782,0.356160173,5,3,-1,0,123,0,-1,0,0,6,5,0,-0.006580636,0,0,0,0,1,2,0
OAT3,175.428,0.22945,0.791741,28.2592,0.142148893,4,0,0,1,160,1,-1,0,5,3,7,0.005700344,-0.005700344,0,0,0,0,1,0,0
OAT3,147.09,-3.01177,0.403408,100.936,0.558323745,8,5,-1,1,205,0,-1,0,5,1,5,0,-0.006798559,0,0,0,0,1,4,0
OAT3,240,1.09576,-2.4675,62.7318,0.236202346,5,3,-1,2,332,0,-1,0,0,5,3,0,-0.004166667,0,0,0,0,1,0,1
OAT3,444.305,3.94511,-4.88481,75.6833,0.164071652,6,4,-1,4,637,0,-1,6,11,7,23,0,-0.002250706,0,0,0,0,1,3,0
OAT3,174.808,-1.90365,0.131694,74.1324,0.35037196,6,4,0,0,170,1,-1,0,0,7,5,0.005720562,-0.005720562,0,0,0,1,1,0,1
OAT3,191.565,2.66516,-3.06626,38.4666,0.1902206,3,2,-1,2,250,0,-1,0,0,3,0,0,-0.00522016,0,0,0,0,1,0,0
OAT3,262.411,-0.770947,1.38878,76.4709,0.258405253,10,1,-1,0,315,1,-2,0,0,11,8,0.003810816,-0.007621632,0,0,0,0,2,0,0
OAT3,135.026,-0.325057,0.326269,32.5914,0.205280761,4,1,0,1,124,1,-1,0,4,2,5,0.007405981,-0.007405981,0,0,0,0,1,0,0
OAT3,85.2873,-0.962452,0.745966,57.2776,0.537762297,6,2,-3,0,83.1,0,-3,0,0,3,1,0,-0.035175225,0,0,0,0,2,0,0
OAT3,126.862,1.83515,-1.44087,28.8938,0.173892476,3,1,-1,0,68.9,0,-1,0,0,6,5,0,-0.007882581,0,0,0,0,1,0,0
OAT3,440.151,4.86794,-4.95279,60.2802,0.133640016,5,3,-1,4,605,0,-1,6,11,7,23,0,-0.002271948,0,0,0,0,1,2,0
OAT3,175.244,1.39755,-0.900814,57.2776,0.269958336,6,2,-2,0,135,0,-2,0,0,8,6,0,-0.011412659,0,0,0,0,2,0,0
OAT3,270.113,5.69066,-4.81786,28.8938,0.085712082,3,1,-1,0,155,0,-1,0,0,14,13,0,-0.003702154,0,0,0,0,1,0,0
OAT3,235.798,-2.73949,-1.0644,105.874,0.469899517,8,5,0,2,382,0,0,0,8,1,5,0,0,0,0,0,0,0,3,0
OAT3,134.083,-3.22651,-0.480946,91.6663,0.52850356,10,4,-1,0,229,1,-2,0,0,3,2,0.007458067,-0.014916134,0,1,0,1,1,0,0
OAT3,155.944,-3.77158,-0.125495,109.24,0.554509322,8,6,-1,0,170,0,-1,0,0,6,5,0,-0.006412558,0,0,0,0,1,5,0
OAT3,127.871,-2.10407,-0.400361,58.9512,0.410095304,5,3,0,1,155,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0
OAT3,175.2,-1.36345,0.0726721,74.288,0.35885149,6,4,0,0,170,1,-1,0,0,7,5,0.005707763,-0.005707763,0,0,0,1,1,0,1
OAT3,137.066,0.442696,-1.45817,50.4158,0.348669041,4,2,-1,1,156,0,-1,0,0,3,0,0,-0.007295755,0,0,0,0,1,0,0
OAT3,179.591,0.744114,-1.29562,52.8542,0.241264059,5,2,-1,0,179,0,-1,0,0,8,6,0,-0.005568208,0,0,0,0,1,0,1
OAT3,297.384,-3.54785,-1.49039,126.877,0.368666661,12,6,-1,0,403,1,-2,0,0,11,7,0.003362656,-0.006725311,0,0,0,1,2,0,0
OAT3,177.668,-4.29459,0.245926,111.194,0.508331695,8,6,0,0,183,0,0,0,0,7,6,0,0,0,0,0,0,0,6,0
OAT3,441.708,7.40173,-5.52941,28.8938,0.063253042,3,1,-1,0,425,0,-1,0,0,22,11,0,-0.002263939,0,0,0,0,1,0,0
OAT3,535.892,1.71384,-4.2386,114.885,0.209290505,10,5,-1,4,891,0,-1,6,11,9,25,0,-0.001866048,0,1,0,0,0,3,0
OAT3,527.599,2.74285,-4.85051,99.2687,0.182776576,9,4,-1,4,858,0,-1,6,11,9,25,0,-0.001895379,0,1,0,0,0,2,0
